A_1_A_1	0.01039	0.5
A_1_C_1	0.0075698	0.5
A_1_G_1	0.010168	0.5
A_1_I_1	0.013747	0.5
A_1_L_1	0.014397	0.5
A_1_M_1	0.011057	0.5
A_1_P_1	0.012786	0.5
A_1_V_1	0.014126	0.5
C_1_C_1	0.013933	0.5
C_1_G_1	0.0091187	0.4286
C_1_I_1	0.0074531	0.4286
C_1_L_1	0.0081254	0.4286
C_1_M_1	0.0078195	0.5
C_1_P_1	0.0082736	0.4286
C_1_V_1	0.0080917	0.4286
D_1_D_1	0.011657	0.5
D_1_E_1	0.014046	0.5
E_1_E_1	0.010876	0.5
F_1_F_1	0.012508	0.5
F_1_W_1	0.013273	0.5
F_1_Y_1	0.012259	0.5
G_1_G_1	0.0075248	0.5
G_1_I_1	0.0078051	0.4286
G_1_L_1	0.0079679	0.4286
G_1_M_1	0.0088447	0.4286
G_1_P_1	0.0089474	0.4286
G_1_V_1	0.0079963	0.4286
H_1_H_1	0.012441	0.5
H_1_K_1	0.0080974	0.4286
H_1_R_1	0.006334	0.4286
I_1_I_1	0.00694	0.5
I_1_L_1	0.012978	0.5
I_1_M_1	0.012797	0.5
I_1_P_1	0.014616	0.5
I_1_V_1	0.012559	0.5
K_1_K_1	0.010648	0.5
L_1_L_1	0.009898	0.5
L_1_M_1	0.012309	0.5
L_1_P_1	0.014564	0.5
L_1_V_1	0.014292	0.5
M_1_M_1	0.01187	0.5
M_1_P_1	0.0088243	0.4286
M_1_V_1	0.011047	0.5
N_1_N_1	0.010653	0.5
N_1_Q_1	0.014568	0.5
N_1_S_1	0.0087182	0.4286
N_1_T_1	0.0081688	0.4286
N_1_W_2	0.0071184	0.4286
N_1_Y_2	0.009217	0.4286
P_1_P_1	0.011578	0.5
P_1_V_1	0.012544	0.5
Q_1_Q_1	0.0092294	0.5
Q_1_S_1	0.0086625	0.4286
Q_1_T_1	0.0081773	0.4286
Q_1_W_2	0.0068989	0.4286
Q_1_Y_2	0.0090443	0.4286
R_1_K_1	0.0077622	0.4286
R_1_R_1	0.0093633	0.5
S_1_S_1	0.013827	0.5
S_1_T_1	0.0137	0.5
S_1_W_2	0.0084431	0.4286
S_1_Y_2	0.0094187	0.5
T_1_T_1	0.011464	0.5
T_1_W_2	0.0088766	0.4286
T_1_Y_2	0.011029	0.5
V_1_V_1	0.0093994	0.5
W_1_W_1	0.012686	0.5
W_1_Y_1	0.0096537	0.5
W_2_W_2	0.0099377	0.5
W_2_Y_2	0.0086262	0.5
Y_1_Y_1	0.011251	0.5
Y_2_Y_2	0.011743	0.5
